Name,Color,Rarity,Total Observations in Card Packs,Total Times Picked Across Drafts,Average Draft Number,Number of Games Where Card in Maindeck,Percent of Games Where Card in Maindeck,Games Won with Card in Maindeck,Total Number of Opening Hand Plays,Games Won with Card in Opening Hand,Number of Times Drawn During Game,Games Won When Drawn During Game
"Calamity, Galloping Inferno",R,R,15262,8614,1.63,46075,90.40%,53.40%,7529,53.30%,10945,56.40%
Caught in the Crossfire,R,U,141966,14837,9.95,18538,21.40%,49.60%,2944,46.50%,4485,49.90%
Cunning Coyote,R,U,105051,18646,5.71,88402,79.80%,53.80%,15708,55.30%,20162,53.70%
Deadeye Duelist,R,C,325946,40978,8.3,158103,66.30%,51.20%,27959,50.40%,37340,51.50%
Demonic Ruckus,R,U,130005,16332,8.11,50369,52.70%,52.70%,8531,53.40%,11488,52.30%
Discerning Peddler,R,C,350005,43830,9.22,160549,61.60%,53.50%,28540,54.20%,36959,52.90%
Explosive Derailment,R,C,260730,47085,5.77,238217,85.40%,53.50%,40091,52.40%,57562,55.80%
Ferocification,R,U,137895,13941,9.88,20791,25.40%,51.20%,3348,48.70%,4680,51.00%
Gila Courser,R,U,106504,19000,5.84,87913,77.90%,53.50%,15401,53.30%,20124,53.20%
Great Train Heist,R,R,29332,6903,3.41,30551,75.80%,52.30%,4668,51.50%,7053,55.20%
Hell to Pay,R,R,30048,6532,3.49,31534,83.20%,51.30%,5334,48.90%,7546,53.30%
Hellspur Brute,R,U,106273,16648,6.02,76339,77.50%,52.90%,12359,53.40%,18047,54.40%
Hellspur Posse Boss,R,R,17942,8912,1.92,48308,88.60%,55.80%,8233,60.60%,11549,61.60%
Highway Robbery,R,C,371604,45939,10.58,96376,35.60%,52.20%,16824,49.90%,23639,53.40%
Irascible Wolverine,R,C,338276,46088,8.55,165775,60.90%,52.70%,28501,51.00%,39487,53.00%
Iron-Fist Pulverizer,R,C,368777,39579,10.77,68810,29.50%,51.20%,10722,49.40%,17509,53.20%
Longhorn Sharpshooter,R,U,74546,20343,3.72,109403,89.60%,54.40%,18713,55.60%,26431,57.30%
"Magda, the Hoardmaster",R,R,17415,8217,1.84,43900,90.90%,52.70%,7926,56.60%,10757,54.00%
Magebane Lizard,R,U,150633,14682,11.35,8023,9.30%,49.40%,1378,45.50%,1808,46.80%
Mine Raider,R,C,346794,40297,9.26,128139,54.10%,51.70%,21833,50.80%,29854,51.70%
Outlaws' Fury,R,C,382144,41983,11.82,38944,15.70%,52.30%,5955,50.20%,8650,53.00%
Prickly Pair,R,C,297569,49573,6.8,236591,80.10%,53.80%,41200,54.40%,54694,54.10%
Quick Draw,R,C,382205,39461,12.06,24060,10.30%,50.80%,3701,48.50%,5457,50.10%
Quilled Charger,R,C,365573,41594,10.27,95807,39.10%,52.30%,15653,50.80%,21441,51.40%
Reckless Lackey,R,C,352391,37153,9.86,98937,45.50%,52.10%,17431,54.10%,22439,50.60%
Resilient Roadrunner,R,U,121706,17774,7.13,71860,68.30%,53.30%,12630,53.90%,16430,52.90%
Return the Favor,R,U,146266,15950,10.42,17703,19.00%,49.60%,2705,46.40%,4206,50.00%
Rodeo Pyromancers,R,C,368966,34825,11.48,32759,16.10%,48.00%,5163,47.90%,8180,47.90%
Scalestorm Summoner,R,U,91651,17919,4.91,85602,79.70%,54.40%,14849,57.40%,19318,53.70%
Scorching Shot,R,U,91829,17431,4.93,87452,84.50%,53.50%,14485,52.80%,20831,55.50%
Slickshot Show-Off,R,R,24650,6188,2.75,28188,78.90%,51.20%,5030,52.30%,6856,51.60%
Stingerback Terror,R,R,15980,9046,1.67,50877,93.10%,55.00%,8871,57.50%,12482,59.80%
Take for a Ride,R,U,143619,18081,9.57,31777,30.10%,51.20%,4941,49.10%,7414,52.50%
Terror of the Peaks,R,M,5974,4546,1.25,25138,92.70%,54.30%,4192,58.00%,6191,60.80%
Thunder Salvo,R,C,302605,43732,7.24,187361,72.90%,52.50%,31982,52.10%,45230,53.80%
Trick Shot,R,C,369436,40555,10.72,64903,27.10%,51.50%,9862,49.20%,15565,53.60%
Aloe Alchemist,G,U,71857,24489,3.51,139522,93.40%,56.10%,24690,57.60%,32079,57.40%
Ankle Biter,G,C,339925,47369,8.79,175803,61.70%,54.20%,30629,54.80%,40520,53.00%
Beastbond Outcaster,G,U,73821,25241,3.61,143474,92.80%,56.70%,25154,59.10%,33415,57.90%
Betrayal at the Vault,G,U,113677,23076,6.22,107952,77.50%,55.30%,16058,53.80%,25667,57.90%
Bristlepack Sentry,G,C,328849,59955,7.79,276091,75.90%,55.30%,48758,55.90%,62011,54.30%
"Bristly Bill, Spine Sower",G,M,6057,5089,1.28,29948,93.90%,58.00%,5453,66.80%,7243,61.10%
Cactarantula,G,C,230573,58606,4.94,321718,90.30%,55.50%,51536,55.30%,77275,57.40%
Colossal Rattlewurm,G,R,14028,10343,1.48,59891,94.30%,56.70%,10339,60.40%,14308,61.10%
Dance of the Tumbleweeds,G,C,262191,57441,5.75,297531,85.30%,55.60%,51461,54.10%,70917,58.40%
Drover Grizzly,G,C,302824,57520,6.93,293753,84.20%,55.60%,50789,54.90%,66339,55.00%
Freestrider Commando,G,C,306172,47932,7.32,218254,76.00%,53.70%,37368,52.70%,51021,53.20%
Freestrider Lookout,G,R,18095,9490,1.92,52089,92.10%,54.40%,9359,56.60%,12489,55.70%
Full Steam Ahead,G,U,142938,18538,9.51,38212,34.40%,53.60%,5629,51.20%,8792,55.90%
