Name,Color,Rarity,Total Observations in Card Packs,Total Times Picked Across Drafts,Average Draft Number,Number of Games Where Card in Maindeck,Percent of Games Where Card in Maindeck,Games Won with Card in Maindeck,Total Number of Opening Hand Plays,Games Won with Card in Opening Hand,Number of Times Drawn During Game,Games Won When Drawn During Game
Sandstorm Salvager,G,M,5338,3738,1.56,21687,93.80%,57.10%,3937,61.40%,5115,60.10%
Vaultborn Tyrant,G,M,4727,3691,1.36,22036,95.10%,57.90%,3574,61.50%,5500,65.80%
"Loot, the Key to Everything",URG,M,16744,2563,6.11,4384,29.40%,50.80%,669,49.60%,1160,55.50%
Pest Control,WB,M,21867,2609,8.56,402,2.60%,,72,,96,
Lost Jitte,,M,6408,2600,1.84,14012,91.00%,53.10%,2508,56.00%,3358,54.40%
Lotus Ring,,M,10291,2474,3.28,11515,78.70%,53.90%,1970,56.10%,2799,57.10%
Nexus of Becoming,,M,7140,3793,2.08,21542,93.90%,55.20%,3672,56.70%,5506,58.40%
Sword of Wealth and Power,,M,5342,2681,1.57,14557,93.80%,51.40%,2481,51.30%,3698,52.40%
Torpor Orb,,M,22961,2644,9.15,89,0.60%,,21,,24,
Transmutation Font,,M,17480,2410,6.35,5177,37.40%,49.60%,867,45.10%,1343,50.80%
Fomori Vault,,M,22160,2636,8.72,1225,7.80%,49.70%,198,,286,
Tarnation Vista,,M,12696,2714,4.04,14542,90.90%,52.80%,2696,54.90%,3611,51.10%
Fell the Mighty,W,R,17853,4561,3.55,21432,79.00%,53.80%,3417,52.60%,5199,57.50%
Fierce Retribution,W,U,96236,16183,5.58,77250,80.00%,53.80%,13088,52.60%,18905,56.00%
Journey to Nowhere,W,U,58159,22024,2.92,124853,92.90%,55.90%,21734,56.50%,30535,59.40%
Leyline Binding,W,M,8490,2701,3.3,13929,86.00%,54.40%,2328,54.30%,3415,57.90%
Pariah,W,R,32080,3416,8.81,3909,19.40%,50.20%,617,47.20%,960,50.80%
Path to Exile,W,R,13353,4658,2.6,25035,89.80%,54.80%,4272,54.10%,6135,58.30%
Archive Trap,U,R,25995,5819,5.31,16643,49.00%,52.40%,2756,50.80%,4951,60.60%
Archmage's Charm,U,R,30399,4229,7.45,8679,34.90%,51.70%,1373,51.30%,2478,57.30%
Commandeer,U,R,34902,4071,9.31,1439,6.00%,46.20%,238,,407,
Essence Capture,U,U,124031,18746,7.8,65472,59.80%,52.20%,10935,53.30%,18370,56.30%
Mana Drain,U,M,6499,2738,2.42,13772,85.00%,54.30%,2325,59.60%,3861,59.50%
Mindbreak Trap,U,M,16792,2063,8.7,646,5.30%,48.60%,90,,177,
Repulse,U,U,92603,23479,4.81,120025,86.20%,53.70%,20915,53.60%,33439,59.10%
Heartless Pillage,B,U,129623,16778,8.62,45911,46.70%,52.30%,7618,52.60%,12012,54.70%
Imp's Mischief,B,R,31779,3680,8.18,5789,27.20%,47.70%,908,44.10%,1442,49.40%
Murder,B,U,71492,20099,3.74,108812,91.40%,53.80%,18588,53.30%,28677,58.10%
Overwhelming Forces,B,M,5812,3146,2.19,17846,91.20%,57.40%,2799,60.70%,4838,67.40%
Reanimate,B,R,13218,5275,2.52,27011,88.50%,52.30%,4506,50.80%,7058,55.30%
Surgical Extraction,B,R,36600,4045,9.8,254,1.00%,,39,,69,
Thoughtseize,B,M,9561,1900,4.07,8171,73.40%,52.40%,1452,53.90%,2140,54.90%
Collective Defiance,R,R,18612,3998,3.84,19598,83.00%,53.40%,3083,53.50%,4792,56.40%
Crackle with Power,R,M,8772,2468,3.54,11935,80.40%,54.30%,1826,53.20%,2994,60.70%
Electrodominance,R,R,19941,3522,4.24,16198,78.50%,52.10%,2511,49.40%,3949,54.90%
Fling,R,U,142936,15642,10.43,18015,19.60%,51.10%,2679,47.60%,4175,52.60%
Indomitable Creativity,R,M,17229,1976,9.22,275,2.30%,,34,,65,
Skewer the Critics,R,U,94566,15818,5.35,77423,83.20%,52.70%,12804,52.10%,18825,53.90%
Skullcrack,R,R,32745,3187,9.08,2598,14.00%,46.30%,402,,579,46.60%
Clear Shot,G,U,65313,25596,3.26,144712,93.40%,55.60%,24110,55.10%,34596,58.80%
Force of Vigor,G,M,15888,1788,8.21,626,5.90%,48.60%,89,,157,
Pest Infestation,G,R,14023,8033,2.53,45514,92.30%,56.60%,7476,57.70%,11325,63.00%
Primal Command,G,R,17802,5922,3.47,29348,82.60%,55.30%,4620,53.80%,7100,59.50%
Primal Might,G,R,12743,6112,2.39,34567,92.80%,55.60%,5578,55.40%,8327,59.50%
Thornado,G,U,144440,18470,9.95,31933,29.00%,52.20%,5235,49.30%,7357,50.60%
Abrupt Decay,BG,R,24419,5063,5.25,21624,72.00%,54.20%,3680,54.80%,5450,58.20%
Anguished Unmaking,WB,M,12264,2059,5.51,7335,60.90%,52.20%,1205,51.50%,1871,55.10%
Back for More,BG,U,92109,27297,4.85,129317,78.80%,55.00%,20176,53.60%,32552,58.70%
Bedevil,BR,R,26121,4022,5.99,15737,66.70%,51.80%,2533,50.80%,3976,54.20%
Buried in the Garden,WG,U,68315,27315,3.39,148766,88.70%,56.70%,25067,57.90%,35614,60.60%
Crime // Punishment,WBG,M,11250,2305,5.01,8082,60.20%,52.40%,1242,52.50%,2061,55.50%
Cruel Ultimatum,UBR,R,26470,5857,5.48,18225,52.30%,53.90%,2896,55.50%,5259,63.20%
Decimate,RG,R,35597,4006,9.93,1034,4.30%,47.00%,157,,253,
Decisive Denial,UG,U,136107,18797,9.14,46649,42.10%,52.10%,7464,50.50%,11954,55.20%
Detention Sphere,WU,R,24837,4872,5.23,18740,65.70%,52.20%,3063,51.40%,5164,56.40%
Endless Detour,WUG,R,37821,4915,9.5,4474,15.10%,53.20%,732,54.10%,1164,56.50%
Fractured Identity,WU,M,5827,3330,2.18,18490,90.90%,55.90%,3065,59.50%,5035,64.20%
Hindering Light,WU,U,146490,16949,10.99,15050,15.10%,48.20%,2425,44.90%,4123,51.10%
Humiliate,WB,U,142396,20576,9.66,43281,35.30%,55.00%,7217,57.80%,10885,57.20%
Hypothesizzle,UR,U,121964,20051,7.56,67480,57.90%,51.00%,10776,50.30%,18536,54.80%
Ionize,UR,R,32286,4479,7.94,10292,39.10%,50.90%,1677,49.50%,2969,57.00%
"Oko, Thief of Crowns",UG,M,3342,2819,1.3,16497,94.50%,56.90%,2939,64.40%,4237,63.80%
Outlaws' Merriment,WR,R,15668,5307,3.06,26169,82.10%,54.40%,4372,59.70%,6331,56.60%
Ride Down,WR,U,138177,16140,9.74,32461,33.80%,53.60%,5034,51.50%,7177,53.70%
Savage Smash,RG,U,119172,18472,7.32,68896,62.50%,53.50%,11064,51.20%,15540,53.90%
Siphon Insight,UB,R,25401,5139,5.55,20784,69.10%,52.60%,3530,52.40%,5867,57.30%
Terminal Agony,BR,U,124825,16763,8.15,54500,55.40%,52.00%,8783,50.30%,13945,55.10%
Tyrant's Scorn,UB,U,116603,22058,6.77,90483,69.40%,53.30%,15541,54.20%,25803,58.90%
Vanishing Verse,WB,R,25985,5123,5.6,21558,69.50%,55.30%,3678,56.10%,5474,60.70%
Villainous Wealth,UBG,R,20820,6396,4.13,28862,77.60%,52.00%,4610,47.60%,7951,57.90%
Void Rend,WUB,R,34513,4703,8.59,7301,26.30%,51.10%,1233,49.30%,2002,57.90%
Voidslime,UG,R,35967,4448,9.38,4583,17.40%,50.10%,751,44.50%,1141,56.20%
Contagion Engine,,M,6499,2472,2.6,12573,86.40%,52.40%,1991,48.60%,3242,55.90%
Grindstone,,M,14203,1594,7.38,2175,23.50%,45.40%,400,,588,46.40%
Mindslaver,,M,9966,2026,4.3,7316,62.80%,51.00%,1162,47.90%,1879,51.70%
Unlicensed Hearse,,R,18252,4295,3.7,20486,81.80%,51.70%,3527,51.10%,5119,53.10%
Dust Bowl,,R,38100,4232,10.22,1271,5.00%,50.20%,210,,302,
